Gene	Database	ID	Domain	Start	End	Seq_Length
Adiantum_capillus-veneris_KAI5056680.1	Pfam	PF01624	MutS_I	531	631	1556
Adiantum_capillus-veneris_KAI5056680.1	Pfam	PF05188	MutS_II	645	775	1556
Adiantum_capillus-veneris_KAI5056680.1	Pfam	PF05192	MutS_III	797	1090	1556
Adiantum_capillus-veneris_KAI5056680.1	Pfam	PF05190	MutS_IV	956	1047	1556
Adiantum_capillus-veneris_KAI5056680.1	Pfam	PF00488	MutS_V	1169	1350	1556
Arabidopsis_thaliana_MSH2_AT3G18524.1	Pfam	PF01624	MutS_I	23	128	937
Arabidopsis_thaliana_MSH2_AT3G18524.1	Pfam	PF05188	MutS_II	145	282	937
Arabidopsis_thaliana_MSH2_AT3G18524.1	Pfam	PF05192	MutS_III	299	606	937
Arabidopsis_thaliana_MSH2_AT3G18524.1	Pfam	PF05190	MutS_IV	469	564	937
Arabidopsis_thaliana_MSH2_AT3G18524.1	Pfam	PF00488	MutS_V	663	858	937
Ceratopteris_richardii_KAH7291810.1	Pfam	PF01624	MutS_I	59	138	1119
Ceratopteris_richardii_KAH7291810.1	Pfam	PF05188	MutS_II	172	301	1119
Ceratopteris_richardii_KAH7291810.1	Pfam	PF05192	MutS_III	332	622	1119
Ceratopteris_richardii_KAH7291810.1	Pfam	PF00488	MutS_V	706	887	1119
Chondrus_crispus_CDF38168.1	Pfam	PF01624	MutS_I	57	139	944
Chondrus_crispus_CDF38168.1	Pfam	PF05188	MutS_II	174	269	944
Chondrus_crispus_CDF38168.1	Pfam	PF05192	MutS_III	300	602	944
Chondrus_crispus_CDF38168.1	Pfam	PF05190	MutS_IV	462	553	944
Chondrus_crispus_CDF38168.1	Pfam	PF00488	MutS_V	662	854	944
Coleofasciculus_S288_MutS1_MCA1993415.1	Pfam	PF01624	MutS_I	45	160	910
Coleofasciculus_S288_MutS1_MCA1993415.1	Pfam	PF05188	MutS_II	169	304	910
Coleofasciculus_S288_MutS1_MCA1993415.1	Pfam	PF05192	MutS_III	324	615	910
Coleofasciculus_S288_MutS1_MCA1993415.1	Pfam	PF05190	MutS_IV	484	574	910
Coleofasciculus_S288_MutS1_MCA1993415.1	Pfam	PF00488	MutS_V	684	871	910
Cyanophora_paradoxa_tig00000169_g11881	Pfam	PF01624	MutS_I	130	268	1321
Cyanophora_paradoxa_tig00000169_g11881	Pfam	PF05188	MutS_II	288	339	1321
Cyanophora_paradoxa_tig00000169_g11881	Pfam	PF05192	MutS_III	436	723	1321
Cyanophora_paradoxa_tig00000169_g11881	Pfam	PF05190	MutS_IV	593	676	1321
Cyanophora_paradoxa_tig00000169_g11881	Pfam	PF00488	MutS_V	806	996	1321
Cymbomonas_tetramitiformis_KAK3249951.1	Pfam	PF01624	MutS_I	230	340	1302
Cymbomonas_tetramitiformis_KAK3249951.1	Pfam	PF05188	MutS_II	349	487	1302
Cymbomonas_tetramitiformis_KAK3249951.1	Pfam	PF05192	MutS_III	508	820	1302
Cymbomonas_tetramitiformis_KAK3249951.1	Pfam	PF05190	MutS_IV	687	774	1302
Cymbomonas_tetramitiformis_KAK3249951.1	Pfam	PF00488	MutS_V	888	1072	1302
Diphasiastrum_complanatum_KAJ7545216.1	Pfam	PF05188	MutS_II	4	55	846
Diphasiastrum_complanatum_KAJ7545216.1	Pfam	PF05192	MutS_III	84	375	846
Diphasiastrum_complanatum_KAJ7545216.1	Pfam	PF05190	MutS_IV	242	328	846
Diphasiastrum_complanatum_KAJ7545216.1	Pfam	PF00488	MutS_V	461	645	846
Escherichia_coli_MutS1_AIZ90229.1	Pfam	PF01624	MutS_I	11	122	853
Escherichia_coli_MutS1_AIZ90229.1	Pfam	PF05188	MutS_II	131	256	853
Escherichia_coli_MutS1_AIZ90229.1	Pfam	PF05192	MutS_III	272	559	853
Escherichia_coli_MutS1_AIZ90229.1	Pfam	PF05190	MutS_IV	428	517	853
Escherichia_coli_MutS1_AIZ90229.1	Pfam	PF00488	MutS_V	610	797	853
Galdieria_sulphuraria_EME29128.1	Pfam	PF01624	MutS_I	75	189	1007
Galdieria_sulphuraria_EME29128.1	Pfam	PF05188	MutS_II	198	334	1007
Galdieria_sulphuraria_EME29128.1	Pfam	PF05192	MutS_III	357	673	1007
Galdieria_sulphuraria_EME29128.1	Pfam	PF05190	MutS_IV	544	631	1007
Galdieria_sulphuraria_EME29128.1	Pfam	PF00488	MutS_V	737	924	1007
Homo_sapiens_MSH2_P43246	Pfam	PF01624	MutS_I	18	131	934
Homo_sapiens_MSH2_P43246	Pfam	PF05188	MutS_II	156	289	934
Homo_sapiens_MSH2_P43246	Pfam	PF05192	MutS_III	305	609	934
Homo_sapiens_MSH2_P43246	Pfam	PF05190	MutS_IV	474	568	934
Homo_sapiens_MSH2_P43246	Pfam	PF00488	MutS_V	666	852	934
Marchantia_polymorpha_OAE22450.1	Pfam	PF01624	MutS_I	811	922	1918
Marchantia_polymorpha_OAE22450.1	Pfam	PF05188	MutS_II	932	1061	1918
Marchantia_polymorpha_OAE22450.1	Pfam	PF05192	MutS_III	1088	1379	1918
Marchantia_polymorpha_OAE22450.1	Pfam	PF05190	MutS_IV	1246	1331	1918
Marchantia_polymorpha_OAE22450.1	Pfam	PF00488	MutS_V	1489	1676	1918
Physcomitrium_patens_XP_024402182.1	Pfam	PF01624	MutS_I	891	1004	2004
Physcomitrium_patens_XP_024402182.1	Pfam	PF05188	MutS_II	1013	1147	2004
Physcomitrium_patens_XP_024402182.1	Pfam	PF05192	MutS_III	1171	1463	2004
Physcomitrium_patens_XP_024402182.1	Pfam	PF05190	MutS_IV	1330	1422	2004
Physcomitrium_patens_XP_024402182.1	Pfam	PF00488	MutS_V	1555	1738	2004
Porphyridium_purpureum_KAA8497790.1	Pfam	PF01624	MutS_I	245	366	1222
Porphyridium_purpureum_KAA8497790.1	Pfam	PF05188	MutS_II	374	508	1222
